1998,[-0.9125, 0.5026,-0.4795,-3.4653],[ 0.    , 0.    , 0.    ,-0.0657, 0.    ],[-0.9133, 0.5597,-0.5348,-3.4983],-0.0523
1999,[-0.9124, 0.5877,-0.5622,-3.4817],[-0.0717, 0.    , 0.    ,-0.0769, 0.    ],[-0.9093, 0.6416,-0.615 ,-3.4494],-0.1394
2934,[-0.8671, 0.2551,-0.2465,-3.5929],[ 0.    ,-0.0276, 0.    , 0.    , 0.    ],[-0.8778, 0.2842,-0.2811,-3.5608],0.0939
2945,[-0.8729,-0.2229, 0.3273,-2.8658],[-0.0097,-0.0166,-0.0132, 0.    ,-0.0199],[-0.8755,-0.2582, 0.3599,-2.8892],0.0653
2956,[-0.8873, 0.319 ,-0.3104,-3.5294],[-0.0391, 0.    , 0.    ,-0.033 ,-0.0458],[-0.8959, 0.3572,-0.3438,-3.4976],0.0882
2967,[-0.8754,-0.3497, 0.4539,-2.9327],[ 0.    , 0.    , 0.    ,-0.0463,-0.0257],[-0.8719,-0.3851, 0.4927,-2.9226],-0.0483
2976,[-0.9037, 0.3988,-0.3812,-3.4655],[ 0.    , 0.    , 0.    ,-0.0522, 0.    ],[-0.9092, 0.4485,-0.4279,-3.4984],0.0444
2978,[-0.9092, 0.4485,-0.4279,-3.4984],[ 0.    , 0.    , 0.    , 0.    ,-0.0591],[-0.9125, 0.5026,-0.4795,-3.4653],0.0014
2989,[-0.8672,-0.419 , 0.5303,-2.8923],[-0.0266, 0.    , 0.    , 0.    , 0.    ],[-0.8602,-0.4493, 0.5648,-2.9224],-0.1263
2999,[-0.8914, 0.7465,-0.7188,-3.3693],[-0.0815,-0.0917, 0.    ,-0.2628, 0.    ],[-0.8824, 0.7804,-0.7521,-3.3371],-0.299
3901,[-0.8306,-0.0452, 0.1399,-2.692 ],[0.    ,0.0042,0.    ,0.    ,0.    ],[-0.8398,-0.0641, 0.1641,-2.7195],0.1067
3921,[-0.8398,-0.0641, 0.1641,-2.7195],[0.   ,0.   ,0.   ,0.   ,0.002],[-0.8483,-0.0861, 0.1919,-2.7456],0.1152
3923,[-0.8554,-0.1129, 0.2249,-2.7745],[-0.0007, 0.    ,-0.0106, 0.    , 0.    ],[-0.8617,-0.1415, 0.2554,-2.8024],0.112
3934,[-0.8415, 0.2128,-0.1944,-3.6596],[-0.0162, 0.    ,-0.0232,-0.0192, 0.    ],[-0.8546, 0.2326,-0.219 ,-3.6262],0.0709
3989,[-0.8559,-0.4628, 0.5807,-2.9367],[-0.0252, 0.    ,-0.0264, 0.    , 0.    ],[-0.847 ,-0.4887, 0.6064,-2.9646],-0.1787
3997,[-0.8294,-0.6359, 0.4751,-2.9392],[ 0.    , 0.    , 0.    ,-0.0809, 0.    ],[-0.8366,-0.6634, 0.503 ,-2.9103],-0.2191
3999,[-0.8407,-0.3993, 0.3262,-3.0135],[-0.1642,-0.2835,-0.2971,-0.3148,-0.1527],[-0.8351,-0.3068, 0.3446,-3.0062],-0.3418
4901,[-0.8049,-0.0107, 0.0938,-2.6589],[0.    ,0.0125,0.    ,0.    ,0.0135],[-0.8154,-0.0235, 0.111 ,-2.6616],0.0655
4912,[-0.7826, 0.1638,-0.1296,-3.5937],[ 0.    , 0.    , 0.    , 0.    ,-0.0121],[-0.7979, 0.1722,-0.1414,-3.6273],-0.0318
4932,[-0.8054, 0.1774,-0.1485,-3.6442],[ 0.    , 0.    ,-0.0126,-0.014 , 0.    ],[-0.8204, 0.1891,-0.1642,-3.6771],0.0117
4943,[-0.781 ,-0.1797, 0.2536,-2.6922],[ 0.    ,-0.0344, 0.    ,-0.0332, 0.    ],[-0.7871,-0.1963, 0.2704,-2.6913],-0.0968
4945,[-0.7965,-0.2321, 0.3081,-2.6356],[-0.0395,-0.0361, 0.    ,-0.0377,-0.0413],[-0.8001,-0.2508, 0.3283,-2.6081],-0.1013
4965,[-0.8052,-0.2899, 0.3714,-2.5809],[ 0.    , 0.    , 0.    ,-0.0461,-0.0442],[-0.8061,-0.3105, 0.3947,-2.6094],-0.1256
4967,[-0.804 ,-0.3516, 0.4426,-2.5811],[ 0.    ,-0.1026,-0.0514,-0.0482, 0.    ],[-0.8018,-0.3716, 0.4642,-2.5535],-0.1701
4987,[-0.7974,-0.4007, 0.493 ,-2.5134],[ 0.    , 0.    ,-0.0554, 0.    , 0.    ],[-0.793 ,-0.4188, 0.5147,-2.4889],-0.211
4989,[-0.7881,-0.4356, 0.5299,-2.466 ],[ 0.    ,-0.0563,-0.0572, 0.    ,-0.0569],[-0.7826,-0.4518, 0.5471,-2.4601],-0.2422
4995,[-0.7789,-0.5318, 0.3767,-2.8587],[-0.0658, 0.    , 0.    , 0.    , 0.    ],[-0.7903,-0.5483, 0.3909,-2.8886],-0.2164
